,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ave.
0,2019,1.55 %,1.52 %,1.86 %,2.00 %,1.79 %,1.65 %,1.81 %,,,,,,
1,2018,2.07 %,2.21 %,2.36 %,2.46 %,2.80 %,2.87 %,2.95 %,2.70 %,2.28 %,2.52 %,2.18 %,1.91 %,2.44 %
2,2017,2.50 %,2.74 %,2.38 %,2.20 %,1.87 %,1.63 %,1.73 %,1.94 %,2.23 %,2.04 %,2.20 %,2.11 %,2.13 %
3,2016,1.37 %,1.02 %,0.85 %,1.13 %,1.02 %,1.00 %,0.83 %,1.06 %,1.46 %,1.64 %,1.69 %,2.07 %,1.26 %
4,2015,-0.09 %,-0.03 %,-0.07 %,-0.20 %,-0.04 %,0.12 %,0.17 %,0.20 %,-0.04 %,0.17 %,0.50 %,0.73 %,0.12 %
5,2014,1.58 %,1.13 %,1.51 %,1.95 %,2.13 %,2.07 %,1.99 %,1.70 %,1.66 %,1.66 %,1.32 %,0.76 %,1.62 %
6,2013,1.59 %,1.98 %,1.47 %,1.06 %,1.36 %,1.75 %,1.96 %,1.52 %,1.18 %,0.96 %,1.24 %,1.50 %,1.47 %
7,2012,2.93 %,2.87 %,2.65 %,2.30 %,1.70 %,1.66 %,1.41 %,1.69 %,1.99 %,2.16 %,1.76 %,1.74 %,2.07 %
8,2011,1.63 %,2.11 %,2.68 %,3.16 %,3.57 %,3.56 %,3.63 %,3.77 %,3.87 %,3.53 %,3.39 %,2.96 %,3.16 %
9,2010,2.63 %,2.14 %,2.31 %,2.24 %,2.02 %,1.05 %,1.24 %,1.15 %,1.14 %,1.17 %,1.14 %,1.50 %,1.64 %
10,2009,0.03 %,0.24 %,-0.38 %,-0.74 %,-1.28 %,-1.43 %,-2.10 %,-1.48 %,-1.29 %,-0.18 %,1.84 %,2.72 %,-0.34 %
11,2008,4.28 %,4.03 %,3.98 %,3.94 %,4.18 %,5.02 %,5.60 %,5.37 %,4.94 %,3.66 %,1.07 %,0.09 %,3.85 %
12,2007,2.08 %,2.42 %,2.78 %,2.57 %,2.69 %,2.69 %,2.36 %,1.97 %,2.76 %,3.54 %,4.31 %,4.08 %,2.85 %
13,2006,3.99 %,3.60 %,3.36 %,3.55 %,4.17 %,4.32 %,4.15 %,3.82 %,2.06 %,1.31 %,1.97 %,2.54 %,3.24 %
14,2005,2.97 %,3.01 %,3.15 %,3.51 %,2.80 %,2.53 %,3.17 %,3.64 %,4.69 %,4.35 %,3.46 %,3.42 %,3.39 %
15,2004,1.93 %,1.69 %,1.74 %,2.29 %,3.05 %,3.27 %,2.99 %,2.65 %,2.54 %,3.19 %,3.52 %,3.26 %,2.68 %
16,2003,2.60 %,2.98 %,3.02 %,2.22 %,2.06 %,2.11 %,2.11 %,2.16 %,2.32 %,2.04 %,1.77 %,1.88 %,2.27 %
17,2002,1.14 %,1.14 %,1.48 %,1.64 %,1.18 %,1.07 %,1.46 %,1.80 %,1.51 %,2.03 %,2.20 %,2.38 %,1.59 %
18,2001,3.73 %,3.53 %,2.92 %,3.27 %,3.62 %,3.25 %,2.72 %,2.72 %,2.65 %,2.13 %,1.90 %,1.55 %,2.83 %
19,2000,2.74 %,3.22 %,3.76 %,3.07 %,3.19 %,3.73 %,3.66 %,3.41 %,3.45 %,3.45 %,3.45 %,3.39 %,3.38 %
20,1999,1.67 %,1.61 %,1.73 %,2.28 %,2.09 %,1.96 %,2.14 %,2.26 %,2.63 %,2.56 %,2.62 %,2.68 %,2.19 %
21,1998,1.57 %,1.44 %,1.37 %,1.44 %,1.69 %,1.68 %,1.68 %,1.62 %,1.49 %,1.49 %,1.55 %,1.61 %,1.55 %
22,1997,3.04 %,3.03 %,2.76 %,2.50 %,2.23 %,2.30 %,2.23 %,2.23 %,2.15 %,2.08 %,1.83 %,1.70 %,2.34 %
23,1996,2.73 %,2.65 %,2.84 %,2.90 %,2.89 %,2.75 %,2.95 %,2.88 %,3.00 %,2.99 %,3.26 %,3.32 %,2.93 %
24,1995,2.80 %,2.86 %,2.85 %,3.05 %,3.19 %,3.04 %,2.76 %,2.62 %,2.54 %,2.81 %,2.61 %,2.54 %,2.81 %
25,1994,2.52 %,2.52 %,2.51 %,2.36 %,2.29 %,2.49 %,2.77 %,2.90 %,2.96 %,2.61 %,2.67 %,2.67 %,2.61 %
26,1993,3.26 %,3.25 %,3.09 %,3.23 %,3.22 %,3.00 %,2.78 %,2.77 %,2.69 %,2.75 %,2.68 %,2.75 %,2.96 %
27,1992,2.60 %,2.82 %,3.19 %,3.18 %,3.02 %,3.09 %,3.16 %,3.15 %,2.99 %,3.20 %,3.05 %,2.90 %,3.03 %
28,1991,5.65 %,5.31 %,4.90 %,4.89 %,4.95 %,4.70 %,4.45 %,3.80 %,3.39 %,2.92 %,2.99 %,3.06 %,4.25 %
29,1990,5.20 %,5.26 %,5.23 %,4.71 %,4.36 %,4.67 %,4.82 %,5.62 %,6.16 %,6.29 %,6.27 %,6.11 %,5.39 %
30,1989,4.67 %,4.83 %,4.98 %,5.12 %,5.36 %,5.17 %,4.98 %,4.71 %,4.34 %,4.49 %,4.66 %,4.65 %,4.83 %
31,1988,4.05 %,3.94 %,3.93 %,3.90 %,3.89 %,3.96 %,4.13 %,4.02 %,4.17 %,4.25 %,4.25 %,4.42 %,4.08 %
32,1987,1.46 %,2.10 %,3.03 %,3.78 %,3.86 %,3.65 %,3.93 %,4.28 %,4.36 %,4.53 %,4.53 %,4.43 %,3.66 %
33,1986,3.89 %,3.11 %,2.26 %,1.59 %,1.49 %,1.77 %,1.58 %,1.57 %,1.75 %,1.47 %,1.28 %,1.10 %,1.91 %
34,1985,3.53 %,3.52 %,3.70 %,3.69 %,3.77 %,3.76 %,3.55 %,3.35 %,3.14 %,3.23 %,3.51 %,3.80 %,3.55 %
35,1984,4.19 %,4.60 %,4.80 %,4.56 %,4.23 %,4.22 %,4.20 %,4.29 %,4.27 %,4.26 %,4.05 %,3.95 %,4.30 %
36,1983,3.71 %,3.49 %,3.60 %,3.90 %,3.55 %,2.58 %,2.46 %,2.56 %,2.86 %,2.85 %,3.27 %,3.79 %,3.22 %
37,1982,8.39 %,7.62 %,6.78 %,6.51 %,6.68 %,7.06 %,6.44 %,5.85 %,5.04 %,5.14 %,4.59 %,3.83 %,6.16 %
38,1981,11.83 %,11.41 %,10.49 %,10.00 %,9.78 %,9.55 %,10.76 %,10.80 %,10.95 %,10.14 %,9.59 %,8.92 %,10.35 %
39,1980,13.91 %,14.18 %,14.76 %,14.73 %,14.41 %,14.38 %,13.13 %,12.87 %,12.60 %,12.77 %,12.65 %,12.52 %,13.58 %
40,1979,9.28 %,9.86 %,10.09 %,10.49 %,10.85 %,10.89 %,11.26 %,11.82 %,12.18 %,12.07 %,12.61 %,13.29 %,11.22 %
41,1978,6.84 %,6.43 %,6.55 %,6.50 %,6.97 %,7.41 %,7.70 %,7.84 %,8.31 %,8.93 %,8.89 %,9.02 %,7.62 %
42,1977,5.22 %,5.91 %,6.44 %,6.95 %,6.73 %,6.87 %,6.83 %,6.62 %,6.60 %,6.39 %,6.72 %,6.70 %,6.50 %
43,1976,6.72 %,6.29 %,6.07 %,6.05 %,6.20 %,5.97 %,5.35 %,5.71 %,5.49 %,5.46 %,4.88 %,4.86 %,5.75 %
44,1975,11.80 %,11.23 %,10.25 %,10.21 %,9.47 %,9.39 %,9.72 %,8.60 %,7.91 %,7.44 %,7.38 %,6.94 %,9.20 %
45,1974,9.39 %,10.02 %,10.39 %,10.09 %,10.71 %,10.86 %,11.51 %,10.86 %,11.95 %,12.06 %,12.20 %,12.34 %,11.03 %
46,1973,3.65 %,3.87 %,4.59 %,5.06 %,5.53 %,6.00 %,5.73 %,7.38 %,7.36 %,7.80 %,8.25 %,8.71 %,6.16 %
47,1972,3.27 %,3.51 %,3.50 %,3.49 %,3.23 %,2.71 %,2.95 %,2.94 %,3.19 %,3.42 %,3.67 %,3.41 %,3.27 %
48,1971,5.29 %,5.00 %,4.71 %,4.16 %,4.40 %,4.64 %,4.36 %,4.62 %,4.08 %,3.81 %,3.28 %,3.27 %,4.30 %
49,1970,6.18 %,6.15 %,5.82 %,6.06 %,6.04 %,6.01 %,5.98 %,5.41 %,5.66 %,5.63 %,5.60 %,5.57 %,5.84 %
50,1969,4.40 %,4.68 %,5.25 %,5.52 %,5.51 %,5.48 %,5.44 %,5.71 %,5.70 %,5.67 %,5.93 %,6.20 %,5.46 %
51,1968,3.65 %,3.95 %,3.94 %,3.93 %,3.92 %,4.20 %,4.49 %,4.48 %,4.46 %,4.75 %,4.73 %,4.72 %,4.27 %
52,1967,3.46 %,2.81 %,2.80 %,2.48 %,2.79 %,2.78 %,2.77 %,2.45 %,2.75 %,2.43 %,2.74 %,3.04 %,2.78 %
53,1966,1.92 %,2.56 %,2.56 %,2.87 %,2.87 %,2.53 %,2.85 %,3.48 %,3.48 %,3.79 %,3.79 %,3.46 %,3.01 %
54,1965,0.97 %,0.97 %,1.29 %,1.62 %,1.62 %,1.94 %,1.61 %,1.94 %,1.61 %,1.93 %,1.60 %,1.92 %,1.59 %
55,1964,1.64 %,1.64 %,1.31 %,1.31 %,1.31 %,1.31 %,1.30 %,0.98 %,1.30 %,0.97 %,1.30 %,0.97 %,1.28 %
56,1963,1.33 %,1.00 %,1.33 %,0.99 %,0.99 %,1.32 %,1.32 %,1.32 %,0.99 %,1.32 %,1.32 %,1.64 %,1.24 %
57,1962,0.67 %,1.01 %,1.01 %,1.34 %,1.34 %,1.34 %,1.00 %,1.34 %,1.33 %,1.33 %,1.33 %,1.33 %,1.20 %
58,1961,1.71 %,1.36 %,1.36 %,1.02 %,1.02 %,0.68 %,1.35 %,1.01 %,1.35 %,0.67 %,0.67 %,0.67 %,1.07 %
59,1960,1.03 %,1.73 %,1.73 %,1.72 %,1.72 %,1.72 %,1.37 %,1.37 %,1.02 %,1.36 %,1.36 %,1.36 %,1.46 %
60,1959,1.40 %,1.05 %,0.35 %,0.35 %,0.35 %,0.69 %,0.69 %,1.04 %,1.38 %,1.73 %,1.38 %,1.73 %,1.01 %
61,1958,3.62 %,3.25 %,3.60 %,3.58 %,3.21 %,2.85 %,2.47 %,2.12 %,2.12 %,2.12 %,2.11 %,1.76 %,2.73 %
